CVE_MUN,GM,IM,IMN,linear Component 1,linear Component 2,rbf Component 1,rbf Component 2,cosine Component 1,cosine Component 2,sigmoid Component 1,sigmoid Component 2
20057,Medio,54.5662482990294,0.854431507123194,-0.004607777073711969,0.0025191198315923785,0.009323335027975808,-0.014416658972694426,-0.014285348481438807,0.019838902167544737,-0.0038717287673552922,0.017151178250069853
20058,Muy alto,45.9454381527939,0.719441618034521,0.04366971753913764,-0.0002391611307449709,-0.015435876795442475,0.03580865354743191,0.028208929782037737,0.016558626830424365,0.04332269942967431,-1.184994052244886e-05
20059,Medio,53.8487919240351,0.843197138793121,0.0004243212213739929,0.009265450602205603,-0.00023008915671721147,0.0011771811220684686,0.0003696181450561807,0.04034240900360682,0.001096171192189201,0.031218082122928
20060,Alto,50.7016429442465,0.793917165737143,0.01863376251621202,-0.009775836485742779,-0.030834557430548894,0.004364503010341424,0.027714903195283486,-0.004522559408624977,0.02019062361093109,-0.0164545367683803
20061,Muy alto,48.1697305044766,0.754270940657472,0.027756494545165298,0.003428925415417115,-0.027252055042915214,0.024400676128393223,0.028532983374837468,0.010973815625503312,0.028334043979413717,-0.0032763061762580473
20062,Bajo,55.6141811255855,0.870840676752217,-0.004941165827788149,-0.019130036999237487,0.0026783941141879427,-0.031181227288970666,-0.005284934286235176,-0.03431088757133126,-0.004953790008664344,-0.02399049063746947
20063,Muy bajo,56.8758399017886,0.890596497304858,-0.01682341041166007,-0.006135295698858684,0.019949146356593377,-0.008044473588204749,-0.019698196570674707,-0.01934624586747058,-0.019303515353305763,-0.014522515768406513
20064,Medio,52.9341703715452,0.828875438183273,0.008143490125379484,-0.008322239101524992,-0.019132399983599477,-0.017638269127841978,0.019960212034362917,-0.014248474238116919,0.009423666245823725,-0.0068843369588385325
20065,Alto,49.8898988786068,0.781206383394146,0.02342194732966624,-0.022398184491015397,-0.026085659728063978,0.016594393931226272,0.0256262692999676,-0.007181432621140704,0.02681797352218785,-0.03371240603509777
20066,Medio,53.7049721755946,0.840945121690155,0.0018897785922338873,-0.014201119946492159,-0.009036713125722034,-0.02985724048006362,0.008719572902775379,-0.03735411962684935,0.0032085188750339776,-0.017306010630284387
